year,n_clusters,avg_morans_i,median_morans_i,min_morans_i,max_morans_i
2020,5,0.7099943736206981,0.7722207425668951,0.41640053421034673,0.852998523418282
2021,4,0.5923595940891885,0.7050398341480733,0.10501455040624745,0.8543441576543601
2022,8,0.7001010967131719,0.7473671806910474,0.31937975511788,0.9587962538757429
2024,8,0.6156790911750689,0.6834031226321391,0.23076674053760066,0.8450318261251923
2025,7,0.720127210424665,0.8004072938289696,0.34614357099852106,0.8881482851867645
