barangay,year,avg_lst,min_lst,max_lst,std_lst,pixel_count
Lawang Bato,2022,51.45695493846567,41.82563318000001,59.89670492000005,2.931776440089492,2242
Karuhatan,2024,46.76564203777679,42.341754200000025,52.038676940000016,1.4712558158877895,2213
Pariancillo Villa,2024,41.02994392037736,37.81287770000006,44.39256620000003,1.6458240744916073,106
Poblacion,2024,43.81340712542859,40.75921094,46.55959088000003,1.6333372187624944,70
Pulo,2024,41.326602260000016,37.50183788000004,44.59422938,1.8573576113629973,62
Isla,2024,42.98951608870081,36.838742000000025,50.25105248,2.617847512235521,508
Arkong Bato,2024,44.22347837088038,39.132233420000034,48.31987118000001,1.3672957463470734,443
Palasan,2024,41.99983012785716,35.871442340000044,45.158202680000045,1.5164381553243336,336
Mabolo,2024,42.419460748437515,37.050659240000016,45.68799578000005,1.2312490820378128,128
Bisig,2024,39.15640965902441,34.367513540000004,43.12448078,2.171071353998088,164
Tagalag,2024,34.40044484807694,30.874297100000035,41.07366878000005,2.9625509960012546,1560
Wawang Pulo,2024,35.06518984576045,31.007599880000043,40.89593174000004,2.5827617188739773,743
Balangkas,2024,38.03582826189763,31.01785394000001,43.92429746000005,3.2440256125977767,1465
Coloong,2024,35.096411153784395,30.35817608000002,45.24707120000005,4.0324048218489725,2291
Malanday,2024,39.874341827278855,29.86598120000002,48.96929498000003,6.005848743443637,2679
Pasolo,2024,42.60820736420384,36.47301386000004,47.00051546000003,1.7971209760854432,471
Dalandanan,2024,45.64532985733484,36.821651900000006,50.60652656000002,2.375986657651739,1786
Rincon,2024,46.218492380997944,42.23579558000006,50.08356950000001,1.6035617360274057,481
Veinte Reales,2024,45.684326088025784,38.24354821999998,50.339921000000004,1.9305593991779129,2173
Lingunan,2024,47.035242876529885,39.5389778,52.72228094000002,1.9631129302249466,2461
Bignay,2024,47.9714379886208,39.79874732000002,59.84201660000002,3.2564843000328483,3821
Canumay West,2024,48.22823569142859,38.838283700000034,54.448381040000015,2.6378893922486033,1974
Canumay East,2024,49.95994448593025,45.38721002,55.81558904000002,1.8563010947648515,1548
